Code,Company,Market,Index,Price,SEDOL,ISIN,Exchange,Bloomberg,Tier,Currency,IndLoanRate,RepoRate,almRate,LCR,RWA,BorrowRate
MPWR,MONOLITHIC POWER SYSTEMS INC,US,Russell 2000,103.47,B01Z7J1,US6098391054,NASDAQ,MPWR:US,3,USD,0.12,0.14,0.02,0.14,0.18,0.21
HR,HEALTHCARE REALTY TRUST REIT INC T,US,Russell 2000,33.55,2417921,US4219461047,New York Stock Exchange Inc.,HR:US,3,USD,0.09,0.05,0.06,0.15,0.14,0.06
EPAM,EPAM SYSTEMS INC,US,Russell 2000,83.27,B44Z3T8,US29414B1044,New York Stock Exchange Inc.,EPAM:US,3,USD,0.12,0.18,0.12,0.07,0.1,0.15
MMS,MAXIMUS INC,US,Russell 2000,62.81,2018669,US5779331041,New York Stock Exchange Inc.,MMS:US,3,USD,0.12,0.02,0.12,0.21,0.19,0.06
WTFC,WINTRUST FINANCIAL CORP,US,Russell 2000,72.72,2425258,US97650W1080,NASDAQ,WTFC:US,3,USD,0.16,0.04,0.13,0.07,0.11,0.22
PFPT,PROOFPOINT INC,US,Russell 2000,91.87,B6VDQC3,US7434241037,NASDAQ,PFPT:US,3,USD,0.18,0.12,0.12,0.13,0.21,0.16
EME,EMCOR GROUP INC,US,Russell 2000,68.11,2474164,US29084Q1004,New York Stock Exchange Inc.,EME:US,3,USD,0.2,0.12,0.03,0.11,0.09,0.07
TCBI,TEXAS CAPITAL BANCSHARES INC,US,Russell 2000,80.4,2977209,US88224Q1076,NASDAQ,TCBI:US,3,USD,0.06,0.08,0.1,0.04,0.02,0.03
BLKB,BLACKBAUD INC,US,Russell 2000,83.77,2458878,US09227Q1004,NASDAQ,BLKB:US,3,USD,0.05,0.14,0.11,0.19,0.14,0.18
LPX,LOUISIANA PACIFIC CORP,US,Russell 2000,27.41,2535243,US5463471053,New York Stock Exchange Inc.,LPX:US,3,USD,0.06,0.13,0.12,0.05,0.17,0.12
ALE,ALLETE INC,US,Russell 2000,77.68,B02R1L6,US0185223007,New York Stock Exchange Inc.,ALE:US,3,USD,0.03,0.14,0.21,0.11,0.04,0.03
ENTG,ENTEGRIS INC,US,Russell 2000,27.95,2599700,US29362U1043,NASDAQ,ENTG:US,3,USD,0.01,0.01,0.15,0.01,0.02,0.14
WWD,WOODWARD INC,US,Russell 2000,73.97,2948089,US9807451037,NASDAQ,WWD:US,3,USD,0.05,0.19,0.16,0.12,0.2,0.13
CUZ,COUSINS PROPERTIES REIT INC,US,Russell 2000,9.37,2229922,US2227951066,New York Stock Exchange Inc.,CUZ:US,3,USD,0.02,0.09,0.12,0.02,0.12,0.15
OGS,ONE GAS INC,US,Russell 2000,74.6,BJ0KXV4,US68235P1084,New York Stock Exchange Inc.,OGS:US,3,USD,0.12,0.16,0.17,0.21,0.02,0.19
DAN,DANA INCORPORATED INC,US,Russell 2000,26.79,B2PFJR3,US2358252052,New York Stock Exchange Inc.,DAN:US,3,USD,0.11,0.11,0.06,0.22,0.01,0.1
LOPE,GRAND CANYON EDUCATION INC,US,Russell 2000,82.84,B3F1XM1,US38526M1062,NASDAQ,LOPE:US,3,USD,0.1,0.15,0.06,0.09,0.1,0.01
IBKC,IBERIABANK CORP,US,Russell 2000,76.1,2452450,US4508281080,NASDAQ,IBKC:US,3,USD,0.2,0.11,0.2,0.13,0.22,0.05
MASI,MASIMO CORP,US,Russell 2000,85.35,B1YWR63,US5747951003,NASDAQ,MASI:US,3,USD,0.13,0.13,0.2,0.05,0.2,0.14
HBHC,HANCOCK HOLDING,US,Russell 2000,45.1,2415497,US4101201097,NASDAQ,HBHC:US,3,USD,0.17,0.16,0.16,0.18,0.22,0.09
RDN,RADIAN GROUP INC,US,Russell 2000,17.46,2173911,US7502361014,New York Stock Exchange Inc.,RDN:US,3,USD,0.04,0.1,0.16,0.22,0.11,0.03
FR,FIRST INDUSTRIAL REALTY TRUST INC,US,Russell 2000,31.48,2360757,US32054K1034,New York Stock Exchange Inc.,FR:US,3,USD,0.14,0.07,0.14,0.06,0.09,0.09
SWX,SOUTHWEST GAS HOLDINGS INC,US,Russell 2000,79.15,2831888,US8448951025,New York Stock Exchange Inc.,SWX:US,3,USD,0.2,0.16,0.02,0.21,0.14,0.12
IDTI,INTEGRATED DEVICE TECHNOLOGY INC,US,Russell 2000,27.68,2462437,US4581181066,NASDAQ,IDTI:US,3,USD,0.19,0.22,0.01,0.12,0.02,0.05
BCO,BRINKS,US,Russell 2000,80.85,2691305,US1096961040,New York Stock Exchange Inc.,BCO:US,3,USD,0.1,0.16,0.22,0.08,0.12,0.16
PAYC,PAYCOM SOFTWARE INC,US,Russell 2000,74.78,BL95MY0,US70432V1026,New York Stock Exchange Inc.,PAYC:US,3,USD,0.06,0.09,0.1,0.12,0.15,0.14
RLJ,RLJ LODGING TRUST REIT TRUST,US,Russell 2000,21.72,B3PY1N7,US74965L1017,New York Stock Exchange Inc.,RLJ:US,3,USD,0.02,0.14,0.08,0.16,0.06,0.21
BKH,BLACK HILLS CORP,US,Russell 2000,69,2101741,US0921131092,New York Stock Exchange Inc.,BKH:US,3,USD,0.06,0.01,0.02,0.09,0.18,0.18
HCSG,HEALTHCARE SERVICES INC,US,Russell 2000,51.7,2417619,US4219061086,NASDAQ,HCSG:US,3,USD,0.19,0.18,0.08,0.05,0.06,0.12
PRAH,PRA HEALTH SCIENCES INC,US,Russell 2000,75.12,BSHZ3V5,US69354M1080,NASDAQ,PRAH:US,3,USD,0.1,0.17,0.06,0.2,0.03,0.11
CRUS,CIRRUS LOGIC INC,US,Russell 2000,56.82,2197308,US1727551004,NASDAQ,CRUS:US,3,USD,0.01,0.11,0.22,0.21,0.17,0.05
SBRA,SABRA HEALTH CARE REIT INC,US,Russell 2000,22.97,B5NLBP6,US78573L1061,NASDAQ,SBRA:US,3,USD,0.01,0.16,0.04,0.01,0.09,0.06
NJR,NEW JERSEY RESOURCES CORP,US,Russell 2000,42.55,2630513,US6460251068,New York Stock Exchange Inc.,NJR:US,3,USD,0.1,0.19,0.07,0.2,0.14,0.13
LITE,LUMENTUM HOLDINGS INC,US,Russell 2000,59.25,BYM9ZP2,US55024U1097,NASDAQ,LITE:US,3,USD,0.13,0.06,0.02,0.17,0.07,0.11
SHO,SUNSTONE HOTEL INVESTORS REIT INC,US,Russell 2000,15.77,B034LG1,US8678921011,New York Stock Exchange Inc.,SHO:US,3,USD,0.1,0.22,0.12,0.06,0.11,0.09
SR,SPIRE INC,US,Russell 2000,75.35,BYXJQG9,US84857L1017,New York Stock Exchange Inc.,SR:US,3,USD,0.15,0.22,0.04,0.11,0.15,0.08
FGEN,FIBROGEN INC,US,Russell 2000,53.5,BSDRYR8,US31572Q8087,NASDAQ,FGEN:US,3,USD,0.06,0.16,0.17,0.03,0.17,0.15
UBSI,UNITED BANKSHARES INC,US,Russell 2000,35.3,2905794,US9099071071,NASDAQ,UBSI:US,3,USD,0.13,0.21,0.15,0.04,0.03,0.22
ISBC,INVESTORS BANCORP INC,US,Russell 2000,13.46,BMHT4M3,US46146L1017,NASDAQ,ISBC:US,3,USD,0.16,0.17,0.1,0.15,0.01,0.01
CHFC,CHEMICAL FINANCIAL CORP,US,Russell 2000,49.07,2190277,US1637311028,NASDAQ,CHFC:US,3,USD,0.04,0.16,0.19,0.15,0.09,0.21
MBFI,MB FINANCIAL INC,US,Russell 2000,42.57,2817651,US55264U1088,NASDAQ,MBFI:US,3,USD,0.1,0.02,0.13,0.22,0.11,0.17
CNO,CNO FINANCIAL GROUP INC,US,Russell 2000,22.92,2657750,US12621E1038,New York Stock Exchange Inc.,CNO:US,3,USD,0.08,0.08,0.01,0.13,0.03,0.17
JCOM,J2 GLOBAL INC,US,Russell 2000,73.37,B75DGJ3,US48123V1026,NASDAQ,JCOM:US,3,USD,0.06,0.05,0.06,0.09,0.03,0.05
YELP,YELP INC,US,Russell 2000,43.85,B7KCD72,US9858171054,New York Stock Exchange Inc.,YELP:US,3,USD,0.05,0.05,0.19,0.21,0.07,0.11
SNX,SYNNEX CORP,US,Russell 2000,117.14,2002554,US87162W1009,New York Stock Exchange Inc.,SNX:US,3,USD,0.03,0.21,0.17,0.02,0.03,0.01
B,BARNES GROUP INC,US,Russell 2000,67.37,2080732,US0678061096,New York Stock Exchange Inc.,B:US,3,USD,0.01,0.17,0.05,0.19,0.02,0.22
PODD,INSULET CORP,US,Russell 2000,58.22,B1XGNW4,US45784P1012,NASDAQ,PODD:US,3,USD,0.07,0.07,0.18,0.19,0.16,0.14
CLVS,CLOVIS ONCOLOGY INC,US,Russell 2000,76.01,B6RS2B3,US1894641000,NASDAQ,CLVS:US,3,USD,0.15,0.2,0.12,0.16,0.15,0.19
VSAT,VIASAT INC,US,Russell 2000,63.03,2946243,US92552V1008,NASDAQ,VSAT:US,3,USD,0.19,0.11,0.03,0.02,0.15,0.2
DOC,PHYSICIANS REALTY TRUST REIT TRUST,US,Russell 2000,18.5,BC9S149,US71943U1043,New York Stock Exchange Inc.,DOC:US,3,USD,0.1,0.04,0.2,0.19,0.11,0.17
SLAB,SILICON LABORATORIES INC,US,Russell 2000,79.85,2568131,US8269191024,NASDAQ,SLAB:US,3,USD,0.01,0.08,0.18,0.02,0.1,0.13
BDC,BELDEN INC,US,Russell 2000,79.43,B01WL78,US0774541066,New York Stock Exchange Inc.,BDC:US,3,USD,0.09,0.12,0.18,0.12,0.09,0.02
SXT,SENSIENT TECHNOLOGIES CORP,US,Russell 2000,75.36,2923741,US81725T1007,New York Stock Exchange Inc.,SXT:US,3,USD,0.13,0.08,0.21,0.2,0.18,0.01
PNM,PNM RESOURCES INC,US,Russell 2000,41.7,2707826,US69349H1077,New York Stock Exchange Inc.,PNM:US,3,USD,0.11,0.03,0.01,0.03,0.17,0.01
SF,STIFEL FINANCIAL CORP,US,Russell 2000,49.61,2849234,US8606301021,New York Stock Exchange Inc.,SF:US,3,USD,0.01,0.16,0.14,0.1,0.22,0.1
AVA,AVISTA CORP,US,Russell 2000,51.53,2942605,US05379B1070,New York Stock Exchange Inc.,AVA:US,3,USD,0.15,0.16,0.03,0.14,0.14,0.1
LIVN,LIVANOVA PLC,US,Russell 2000,68.29,BYMT0J1,GB00BYMT0J19,NASDAQ,LIVN:US,3,USD,0.05,0.09,0.18,0.19,0.03,0.11
DLX,DELUXE CORP,US,Russell 2000,68.2,2260363,US2480191012,New York Stock Exchange Inc.,DLX:US,3,USD,0.03,0.03,0.03,0.1,0.14,0.21
STMP,STAMPS.COM INC,US,Russell 2000,208.2,B013D75,US8528572006,NASDAQ,STMP:US,3,USD,0.05,0.19,0.04,0.09,0.17,0.2
LHO,LASALLE HOTEL PROPERTIES REIT,US,Russell 2000,28.72,2240161,US5179421087,New York Stock Exchange Inc.,LHO:US,3,USD,0.15,0.22,0.2,0.12,0.12,0.05
CACI,CACI INTERNATIONAL INC CLASS A,US,Russell 2000,133.55,2159267,US1271903049,New York Stock Exchange Inc.,CACI:US,3,USD,0.09,0.19,0.07,0.03,0.03,0.1
ESNT,ESSENT GROUP LTD,US,Russell 2000,39.73,BFWGXR8,BMG3198U1027,New York Stock Exchange Inc.,ESNT:US,3,USD,0.01,0.22,0.16,0.08,0.2,0.13
PRI,PRIMERICA INC,US,Russell 2000,76.8,B50K3X8,US74164M1080,New York Stock Exchange Inc.,PRI:US,3,USD,0.1,0.08,0.2,0.09,0.18,0.15
SAFM,SANDERSON FARMS INC,US,Russell 2000,160.56,2774336,US8000131040,NASDAQ,SAFM:US,3,USD,0.14,0.1,0.03,0.04,0.07,0.16
SUM,SUMMIT MATERIALS INC CLASS A,US,Russell 2000,30.16,BW9JPS4,US86614U1007,New York Stock Exchange Inc.,SUM:US,3,USD,0.19,0.07,0.13,0.17,0.08,0.13
NKTR,NEKTAR THERAPEUTICS,US,Russell 2000,21.75,2454445,US6402681083,NASDAQ,NKTR:US,3,USD,0.01,0.21,0.13,0.15,0.12,0.22
TXRH,TEXAS ROADHOUSE INC,US,Russell 2000,47.9,B033TJ7,US8826811098,NASDAQ,TXRH:US,3,USD,0.02,0.15,0.22,0.02,0.03,0.07
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,US,Russell 2000,50.05,2248693,US4579852082,NASDAQ,IART:US,3,USD,0.05,0.12,0.16,0.12,0.1,0.05
GEO,GEO GROUP REIT INC,US,Russell 2000,25.94,BNLYWQ1,US36162J1060,New York Stock Exchange Inc.,GEO:US,3,USD,0.11,0.07,0.14,0.11,0.12,0.03
LNCE,SNYDERS-LANCE INC,US,Russell 2000,37,B54DFD7,US8335511049,NASDAQ,LNCE:US,3,USD,0.08,0.01,0.13,0.16,0.1,0.04
CMD,CANTEL MEDICAL CORP,US,Russell 2000,87.59,2188153,US1380981084,New York Stock Exchange Inc.,CMD:US,3,USD,0.1,0.08,0.03,0.14,0.19,0.15
NHI,NATIONAL HEALTH INVESTORS REIT INC,US,Russell 2000,79.55,2626125,US63633D1046,New York Stock Exchange Inc.,NHI:US,3,USD,0.07,0.17,0.11,0.19,0.15,0.17
UMBF,UMB FINANCIAL CORP,US,Russell 2000,68.8,2918510,US9027881088,NASDAQ,UMBF:US,3,USD,0.12,0.01,0.12,0.06,0.15,0.2
KMT,KENNAMETAL INC,US,Russell 2000,39,2488121,US4891701009,New York Stock Exchange Inc.,KMT:US,3,USD,0.14,0.08,0.01,0.01,0.1,0.19
CIEN,CIENA CORP,US,Russell 2000,22.08,B1FLZ21,US1717793095,New York Stock Exchange Inc.,CIEN:US,3,USD,0.2,0.05,0.01,0.05,0.14,0.09
TECD,TECH DATA CORP,US,Russell 2000,87.75,2879532,US8782371061,NASDAQ,TECD:US,3,USD,0.07,0.04,0.09,0.19,0.19,0.19
POL,POLYONE CORP,US,Russell 2000,37.88,2624561,US73179P1066,New York Stock Exchange Inc.,POL:US,3,USD,0.07,0.01,0.02,0.17,0.17,0.05
FULT,FULTON FINANCIAL CORP,US,Russell 2000,17.8,2356585,US3602711000,NASDAQ,FULT:US,3,USD,0.14,0.13,0.13,0.04,0.04,0.12
TEN,TENNECO INC,US,Russell 2000,57.5,2512600,US8803491054,New York Stock Exchange Inc.,TEN:US,3,USD,0.15,0.07,0.07,0.22,0.2,0.13
MTZ,MASTEC INC,US,Russell 2000,46.05,2155306,US5763231090,New York Stock Exchange Inc.,MTZ:US,3,USD,0.01,0.15,0.14,0.06,0.14,0.02
AEIS,ADVANCED ENERGY INDUSTRIES INC,US,Russell 2000,77.13,2049175,US0079731008,NASDAQ,AEIS:US,3,USD,0.07,0.11,0.05,0.01,0.08,0.13
EGP,EASTGROUP PROPERTIES REIT INC,US,Russell 2000,90,2455761,US2772761019,New York Stock Exchange Inc.,EGP:US,3,USD,0.14,0.04,0.08,0.2,0.01,0.18
JBT,JOHN BEAN TECHNOLOGIES CORP,US,Russell 2000,97,B3BRJZ8,US4778391049,New York Stock Exchange Inc.,JBT:US,3,USD,0.14,0.11,0.04,0.01,0.08,0.11
STL,STERLING BAN,US,Russell 2000,23.05,BFNXVB8,US85917A1007,New York Stock Exchange Inc.,STL:US,3,USD,0.12,0.21,0.11,0.04,0.09,0.11
TSE,TRINSEO,US,Russell 2000,68.05,BN65SJ4,LU1057788488,New York Stock Exchange Inc.,TSE:US,3,USD,0.01,0.12,0.02,0.08,0.06,0.11
EVR,EVERCORE INC CLASS A,US,Russell 2000,76.4,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.,EVR:US,3,USD,0.13,0.12,0.05,0.22,0.18,0.21
HOMB,HOME BANCSHARES INC,US,Russell 2000,22.89,B17MTL9,US4368932004,NASDAQ,HOMB:US,3,USD,0.09,0.07,0.01,0.22,0.08,0.21
PBYI,PUMA BIOTECHNOLOGY INC,US,Russell 2000,103.4,B7F2TY6,US74587V1070,NASDAQ,PBYI:US,3,USD,0.1,0.08,0.14,0.21,0.05,0.21
DAR,DARLING INGREDIENTS INC,US,Russell 2000,18.04,2250289,US2372661015,New York Stock Exchange Inc.,DAR:US,3,USD,0.17,0.04,0.15,0.12,0.15,0.03
SIGI,SELECTIVE INSURANCE GROUP INC,US,Russell 2000,51.25,2766173,US8163001071,NASDAQ,SIGI:US,3,USD,0.05,0.21,0.13,0.18,0.11,0.04
CHE,CHEMED CORP,US,Russell 2000,187.96,2190084,US16359R1032,New York Stock Exchange Inc.,CHE:US,3,USD,0.19,0.2,0.05,0.09,0.1,0.2
INCR,INC RESEARCH HOLDINGS INC CLASS A,US,Russell 2000,53.8,BS7K7P2,US45329R1095,NASDAQ,INCR:US,3,USD,0.14,0.02,0.2,0.16,0.22,0.2
ENS,ENERSYS,US,Russell 2000,67.3,B020GQ5,US29275Y1029,New York Stock Exchange Inc.,ENS:US,3,USD,0.14,0.11,0.11,0.11,0.16,0.18
BECN,BEACON ROOFING SUPPLY INC,US,Russell 2000,48.49,B02TS99,US0736851090,NASDAQ,BECN:US,3,USD,0.14,0.2,0.06,0.1,0.1,0.04
PDCE,PDC ENERGY INC,US,Russell 2000,44.02,B89M5F2,US69327R1014,NASDAQ,PDCE:US,3,USD,0.05,0.11,0.12,0.1,0.07,0.11
EDR,EDUCATION REALTY TRUST REIT INC TR,US,Russell 2000,39.42,BSR6J09,US28140H2031,New York Stock Exchange Inc.,EDR:US,3,USD,0.17,0.15,0.21,0.07,0.2,0.02
VLY,VALLEY NATIONAL,US,Russell 2000,11.14,2935326,US9197941076,New York Stock Exchange Inc.,VLY:US,3,USD,0.19,0.05,0.08,0.03,0.16,0.22
FCFS,FIRSTCASH INC,US,Russell 2000,60.65,BZCG9B4,US33767D1054,New York Stock Exchange Inc.,FCFS:US,3,USD,0.14,0.18,0.14,0.03,0.21,0.1
JACK,JACK IN THE BOX INC,US,Russell 2000,96.85,2344922,US4663671091,NASDAQ,JACK:US,3,USD,0.04,0.01,0.21,0.06,0.1,0.07
ELLI,ELLIE MAE INC,US,Russell 2000,84.93,B532X75,US28849P1003,New York Stock Exchange Inc.,ELLI:US,3,USD,0.1,0.07,0.13,0.01,0.11,0.17
PTLA,PORTOLA PHARMACEUTICALS INC,US,Russell 2000,52.09,B93PNR2,US7370101088,NASDAQ,PTLA:US,3,USD,0.13,0.13,0.08,0.17,0.22,0.08
WAFD,WASHINGTON FEDERAL INC,US,Russell 2000,32.15,2941981,US9388241096,NASDAQ,WAFD:US,3,USD,0.03,0.06,0.21,0.14,0.19,0.05
SANM,SANMINA CORP,US,Russell 2000,37.95,B92RRW2,US8010561020,NASDAQ,SANM:US,3,USD,0.05,0.12,0.03,0.19,0.18,0.18
CATY,CATHAY GENERAL BANCORP,US,Russell 2000,37.26,2264235,US1491501045,NASDAQ,CATY:US,3,USD,0.05,0.16,0.1,0.13,0.14,0.15
NTCT,NETSCOUT SYSTEMS INC,US,Russell 2000,33.05,2447285,US64115T1043,NASDAQ,NTCT:US,3,USD,0.06,0.02,0.04,0.02,0.08,0.16
NWE,NORTHWESTERN CORP,US,Russell 2000,58.47,B03PGL4,US6680743050,New York Stock Exchange Inc.,NWE:US,3,USD,0.01,0.06,0.21,0.18,0.22,0.18
SAIC,SCIENCE APPLICATIONS INTERNATIONAL,US,Russell 2000,64.9,BDTZZG7,US8086251076,New York Stock Exchange Inc.,SAIC:US,3,USD,0.14,0.2,0.22,0.02,0.2,0.02
CBRL,CRACKER BARREL OLD COUNTRY STORE I,US,Russell 2000,146.44,2231091,US22410J1060,NASDAQ,CBRL:US,3,USD,0.11,0.05,0.09,0.16,0.12,0.14
GNRC,GENERAC HOLDINGS INC,US,Russell 2000,46.15,B6197Q2,US3687361044,New York Stock Exchange Inc.,GNRC:US,3,USD,0.01,0.12,0.1,0.22,0.09,0.01
FUL,HB FULLER,US,Russell 2000,55.96,2354664,US3596941068,New York Stock Exchange Inc.,FUL:US,3,USD,0.08,0.2,0.07,0.13,0.16,0.02
ZEN,ZENDESK INC,US,Russell 2000,28.95,BMH0MR7,US98936J1016,New York Stock Exchange Inc.,ZEN:US,3,USD,0.19,0.14,0.04,0.04,0.22,0.14
SJI,S JERSEY INDS INC,US,Russell 2000,35.14,2825933,US8385181081,New York Stock Exchange Inc.,SJI:US,3,USD,0.16,0.07,0.07,0.18,0.05,0.01
LGND,LIGAND PHARMACEUTICALS INC,US,Russell 2000,136.18,2501578,US53220K5048,NASDAQ,LGND:US,3,USD,0.12,0.06,0.05,0.14,0.22,0.1
ROLL,RBC BEARINGS INC,US,Russell 2000,119.68,B0GLYB5,US75524B1044,NASDAQ,ROLL:US,3,USD,0.13,0.12,0.14,0.04,0.03,0.09
WMGI,WRIGHT MEDICAL GROUP NV,US,Russell 2000,26.39,BZ2JCC5,NL0011327523,NASDAQ,WMGI:US,3,USD,0.18,0.12,0.04,0.03,0.14,0.05
CAR,AVIS BUDGET GROUP INC,US,Russell 2000,36.64,B1CL8J2,US0537741052,NASDAQ,CAR:US,3,USD,0.09,0.03,0.05,0.13,0.18,0.12
NXST,NEXSTAR MEDIA GROUP INC CLASS A,US,Russell 2000,60,2949758,US65336K1034,NASDAQ,NXST:US,3,USD,0.1,0.11,0.09,0.01,0.01,0.07
MOH,MOLINA HEALTHCARE INC,US,Russell 2000,62.12,2212706,US60855R1005,New York Stock Exchange Inc.,MOH:US,3,USD,0.2,0.14,0.14,0.18,0.09,0.12
ICUI,ICU MEDICAL INC,US,Russell 2000,181.75,2451918,US44930G1076,NASDAQ,ICUI:US,3,USD,0.07,0.19,0.14,0.11,0.04,0.21
CHDN,CHURCHILL DOWNS INC,US,Russell 2000,202.75,2194105,US1714841087,NASDAQ,CHDN:US,3,USD,0.17,0.07,0.04,0.22,0.04,0.22
PSB,PS BUSINESS PARKS REIT INC,US,Russell 2000,136.54,2707956,US69360J1079,New York Stock Exchange Inc.,PSB:US,3,USD,0.1,0.1,0.03,0.07,0.1,0.21
RHP,RYMAN HOSPITALITY PROPERTIES REIT,US,Russell 2000,61.09,B8QV5C9,US78377T1079,New York Stock Exchange Inc.,RHP:US,3,USD,0.01,0.05,0.14,0.12,0.22,0.03
NUVA,NUVASIVE INC,US,Russell 2000,53.54,B00GJC2,US6707041058,NASDAQ,NUVA:US,3,USD,0.05,0.02,0.09,0.14,0.05,0.08
GBCI,GLACIER BANCORP INC,US,Russell 2000,34.52,2370585,US37637Q1058,NASDAQ,GBCI:US,3,USD,0.04,0.11,0.2,0.02,0.03,0.09
SRPT,SAREPTA THERAPEUTICS INC,US,Russell 2000,45.77,B8DPDT7,US8036071004,NASDAQ,SRPT:US,3,USD,0.2,0.14,0.01,0.08,0.16,0.12
ILG,ILG INC,US,Russell 2000,25.31,BYT3YH2,US44967H1014,NASDAQ,ILG:US,3,USD,0.01,0.17,0.04,0.1,0.19,0.16
ACIW,ACI WORLDWIDE INC,US,Russell 2000,22.85,2889155,US0044981019,NASDAQ,ACIW:US,3,USD,0.04,0.16,0.18,0.13,0.13,0.08
FIVE,FIVE BELOW INC,US,Russell 2000,49.47,B85KFY9,US33829M1018,NASDAQ,FIVE:US,3,USD,0.06,0.09,0.09,0.1,0.09,0.04
STAG,STAG INDUSTRIAL REIT INC,US,Russell 2000,28.4,B64BRQ5,US85254J1025,New York Stock Exchange Inc.,STAG:US,3,USD,0.2,0.03,0.16,0.11,0.17,0.11
HUBS,HUBSPOT INC,US,Russell 2000,77.35,BR4T3B3,US4435731009,New York Stock Exchange Inc.,HUBS:US,3,USD,0.06,0.13,0.1,0.03,0.14,0.04
NEOG,NEOGEN CORP,US,Russell 2000,71.63,2630085,US6404911066,NASDAQ,NEOG:US,3,USD,0.09,0.1,0.11,0.17,0.21,0.02
